fileyear,Program,Level,Number,MedianAnnualFamilyIncome,Person,IHSS,Child Welfare,Foster Care,DDS,Black,White,Hispanic,Asian_PI,Native_American,Other_missing,Female,Male
2021,CalFresh,State Assembly,District 75,100404.15,52416,1888,670,128,741,1906,11819,19895,2209,557,16030,28423,23993
2021,CalFresh,State Assembly,District 76,103806.15,46446,1423,702,112,591,1905,11389,14679,1659,189,16625,24987,21459
2021,CalFresh,State Assembly,District 77,138801.6,32642,2244,289,77,573,1904,6965,4560,5005,76,14132,17983,14659
2021,CalFresh,State Assembly,District 78,116613,55894,2366,769,104,631,4847,12974,10555,2379,234,24905,27947,27947
2021,CalFresh,State Assembly,District 79,94372.95,87133,4214,1390,302,1359,10780,10019,25641,7517,241,32935,47453,39680
2021,CalFresh,State Assembly,District 80,100698.15,117189,5183,1351,242,1885,7162,7394,60183,6602,235,35613,64816,52373
2021,CalFresh,State Senate,District 01,99044.4,106240,5817,2722,733,1837,2616,68626,11245,2900,2264,18589,56667,49573
2021,CalFresh,State Senate,District 02,103533.15,123093,8180,3117,590,2422,3555,61586,27422,3315,4983,22232,65402,57691
2021,CalFresh,State Senate,District 03,106738.8,105006,5509,1773,358,1799,17405,25647,26927,7633,601,26793,58527,46479
2021,CalFresh,State Senate,District 04,80590.65,167434,9604,3513,824,3287,11666,75660,33508,8292,1867,36441,90446,76988
2021,CalFresh,State Senate,District 05,80123.4,181391,7000,3086,641,3397,21961,40094,70899,21191,635,26611,99266,82125
2021,CalFresh,State Senate,District 06,82241.25,219518,16004,4292,803,3669,45930,34797,37286,24850,1627,75028,118448,101070
2021,CalFresh,State Senate,District 07,144433.8,80354,5609,1114,229,1534,15623,14427,17294,6718,275,26017,45502,34852
2021,CalFresh,State Senate,District 08,82776.75,188289,9893,3632,1070,2841,13883,52375,65756,8905,2489,44881,103348,84941
2021,CalFresh,State Senate,District 09,107091.6,152019,13545,2467,439,2478,43019,10263,31095,21813,365,45464,83970,68049
2021,CalFresh,State Senate,District 10,138925.5,84164,8309,1108,190,1415,8390,7962,20732,20188,241,26651,47247,36917
2021,CalFresh,State Senate,District 11,139772.85,123545,21317,1925,248,1229,12541,12744,17040,39625,359,41236,64642,58903
2021,CalFresh,State Senate,District 12,66550.05,215412,7509,3567,839,3011,8525,31018,145571,5883,575,23840,115874,99538
2021,CalFresh,State Senate,District 13,177049.95,42093,3486,490,143,664,2149,6638,15600,6203,97,11406,23027,19066
2021,CalFresh,State Senate,District 14,47826.45,297905,10270,5297,1263,4268,15759,30512,198549,7817,1504,43764,158848,139057
2021,CalFresh,State Senate,District 15,148576.05,82172,9392,1479,206,1123,3821,9052,30337,21268,362,17332,44562,37610
2021,CalFresh,State Senate,District 16,70920.15,234123,8131,5645,1503,3717,23801,69847,106297,5381,1026,27771,127209,106914
2021,CalFresh,State Senate,District 17,112395.15,102691,5760,1655,327,1487,2368,26122,41959,5668,470,26104,55374,47317
2021,CalFresh,State Senate,District 18,80157,167008,20365,4335,675,3580,11182,42107,95957,8465,189,9108,91425,75583
2021,CalFresh,State Senate,District 19,91405.65,132632,4819,2524,518,2865,2478,42020,53614,2707,422,31391,71526,61106
2021,CalFresh,State Senate,District 20,73822.35,190531,9028,5075,1003,2559,24588,17488,121424,7059,286,19686,104470,86061
2021,CalFresh,State Senate,District 21,77879.55,238612,15845,8970,1608,4634,57301,44773,112272,4897,539,18830,130103,108509
2021,CalFresh,State Senate,District 22,80102.4,145048,15661,3477,628,2972,3958,10486,85873,37056,159,7516,80322,64726
2021,CalFresh,State Senate,District 23,79464,183890,11297,4589,1017,2016,25465,43596,85849,5888,622,22470,101355,82535
2021,CalFresh,State Senate,District 24,58202.55,188690,18850,5749,825,3537,14922,18878,121740,22312,295,10543,101112,87578
2021,CalFresh,State Senate,District 25,108972.15,122020,27817,2367,494,1957,9951,59392,34573,8028,162,9914,67819,54201
2021,CalFresh,State Senate,District 26,147434.7,72050,9592,1091,197,1030,9586,30557,15566,5560,182,10599,38780,33270
2021,CalFresh,State Senate,District 27,121516.5,95348,10914,1593,320,2180,6731,34705,34066,7107,141,12598,52570,42778
2021,CalFresh,State Senate,District 28,88377.45,142701,7094,3286,621,1503,9330,34068,76816,3855,436,18196,77195,65506
2021,CalFresh,State Senate,District 29,104664,108099,7325,2003,470,1568,4242,16002,48948,19515,187,19205,59341,48758
2021,CalFresh,State Senate,District 30,65694.3,255030,21491,9981,1346,4795,98543,15483,117533,6742,390,16339,133847,121183
2021,CalFresh,State Senate,District 31,86915.85,143959,8373,3254,745,1703,19538,21025,76230,5639,310,21217,79543,64416
2021,CalFresh,State Senate,District 32,87810.45,131622,10730,3600,698,3074,8044,13764,86724,13032,197,9861,73590,58032
2021,CalFresh,State Senate,District 33,61719,203969,13908,6576,992,4298,31368,12611,136332,11998,286,11374,112062,91907
2021,CalFresh,State Senate,District 34,87971.1,146678,10725,2534,500,1726,3043,17223,64189,38293,259,23671,78056,68622
2021,CalFresh,State Senate,District 35,73450.65,210155,14436,6452,1052,4235,62537,12960,107555,12180,326,14597,114317,95838
2021,CalFresh,State Senate,District 36,124539.45,70529,2958,1057,184,879,2492,20480,21328,2767,269,23193,38095,32434
2021,CalFresh,State Senate,District 37,131143.95,74661,4814,1244,284,1004,2955,19946,23787,7380,197,20396,40951,33710
2021,CalFresh,State Senate,District 38,100737,146504,7198,2018,366,2273,8829,34702,36142,5275,1022,60534,79024,67480
2021,CalFresh,State Senate,District 39,120672.3,105088,5307,1403,289,1360,9987,21121,18411,9359,363,45847,54386,50702
2021,CalFresh,State Senate,District 40,100698.15,222664,11146,2833,527,3920,13300,15850,125016,10940,1048,56510,123439,99225
2021,CalFresh,U.S. Congress,District 01,75407.85,121842,6674,3298,887,2418,2933,79995,16332,3929,2721,15932,64585,57257
2021,CalFresh,U.S. Congress,District 02,110845.35,86480,5366,2256,382,1668,2545,45375,17320,2591,4121,14528,45968,40512
2021,CalFresh,U.S. Congress,District 03,88769.1,113531,5434,2175,424,1912,10631,42461,31113,6982,1267,21077,62314,51217
2021,CalFresh,U.S. Congress,District 04,107024.4,66810,3360,1509,369,1158,1300,40995,8963,1733,1112,12707,35682,31128
2021,CalFresh,U.S. Congress,District 05,104590.5,79304,5214,1560,366,1510,11020,21047,21386,5325,766,19760,43493,35811
2021,CalFresh,U.S. Congress,District 06,73776.15,187943,13252,3893,640,3014,40963,33103,33445,16009,1455,62968,101050,86893
2021,CalFresh,U.S. Congress,District 07,99093.75,102245,7687,1547,426,1902,14083,24163,13002,11908,651,38438,56216,46029
2021,CalFresh,U.S. Congress,District 08,68105.1,183277,8846,4545,980,1957,29606,50890,80124,3370,1396,17891,98865,84412
2021,CalFresh,U.S. Congress,District 09,85620.15,141090,5914,2420,528,2775,24457,24867,50887,17296,537,23046,77580,63510
2021,CalFresh,U.S. Congress,District 10,80206.35,120579,5199,1865,345,1982,6176,35905,51768,7790,347,18593,66063,54516
2021,CalFresh,U.S. Congress,District 11,121693.95,73039,4941,1043,170,1299,15655,10293,19047,5674,216,22154,40711,32328
2021,CalFresh,U.S. Congress,District 12,148955.1,101399,18493,1635,184,947,11540,11319,12629,31311,329,34271,52268,49131
2021,CalFresh,U.S. Congress,District 13,112642.95,119626,11363,2024,382,1874,34363,7810,21888,18828,287,36450,65939,53687
2021,CalFresh,U.S. Congress,District 14,145687.5,46774,4563,586,181,669,2115,5163,13380,11991,89,14036,25820,20954
2021,CalFresh,U.S. Congress,District 15,146596.8,58658,4933,722,135,1088,7066,6295,13799,10562,132,20804,33228,25430
2021,CalFresh,U.S. Congress,District 16,56925.75,227945,10239,4743,1188,3209,18186,30349,127361,9505,1173,41371,122292,105653
2021,CalFresh,U.S. Congress,District 17,162995.7,43177,5159,551,86,701,2317,4799,10289,13854,143,11775,24166,19011
2021,CalFresh,U.S. Congress,District 18,185375.4,33071,3619,487,87,501,1834,7593,10493,3975,139,9037,18182,14889
2021,CalFresh,U.S. Congress,District 19,126959.7,83454,8714,1536,214,1118,3476,7857,34392,21171,365,16193,45101,38353
2021,CalFresh,U.S. Congress,District 20,93771.3,100598,4584,1161,206,1278,1837,15810,64920,2098,266,15667,54090,46508
2021,CalFresh,U.S. Congress,District 21,52088.4,195369,5853,3457,947,2778,10999,20142,137310,3814,591,22513,105219,90150
2021,CalFresh,U.S. Congress,District 22,77055.3,177987,6739,3047,856,2797,8664,27962,95242,6630,969,38520,97028,80959
2021,CalFresh,U.S. Congress,District 23,74861.85,174954,6973,4314,1171,3247,20559,50432,80516,4113,906,18428,95333,79621
2021,CalFresh,U.S. Congress,District 24,97725.6,87140,3313,1828,402,1620,1548,40270,19890,1329,398,23705,46765,40375
2021,CalFresh,U.S. Congress,District 25,97913.55,129232,9775,5909,952,3230,31103,24705,58821,3704,267,10632,70821,58411
2021,CalFresh,U.S. Congress,District 26,104051.85,82005,3187,1431,288,2021,1540,15310,42564,2174,207,20210,44468,37537
2021,CalFresh,U.S. Congress,District 27,101322.9,76700,11375,1805,365,1402,6600,11059,28106,25123,82,5730,42465,34235
2021,CalFresh,U.S. Congress,District 28,95618.25,116775,30671,1498,195,1449,6638,64237,29237,7760,172,8731,63635,53140
2021,CalFresh,U.S. Congress,District 29,68566.05,141718,16813,3943,621,3143,8846,30820,88647,6597,148,6660,77467,64251
2021,CalFresh,U.S. Congress,District 30,110173.35,93407,12638,1590,247,1955,8272,35498,33925,7430,129,8153,51496,41911
2021,CalFresh,U.S. Congress,District 31,79653,147359,7298,3925,931,1685,25539,18630,82140,4876,311,15863,80656,66703
2021,CalFresh,U.S. Congress,District 32,84810.6,113257,9211,3133,663,2537,4404,10890,75453,15780,155,6575,62529,50728
2021,CalFresh,U.S. Congress,District 33,160498.8,41747,4546,634,104,675,4985,18110,8550,3484,95,6523,23029,18718
2021,CalFresh,U.S. Congress,District 34,56064.75,152573,14758,4710,588,2754,17744,12251,92115,20987,277,9199,79587,72986
2021,CalFresh,U.S. Congress,District 35,74046,125557,6142,3178,620,1837,12951,11780,81740,5560,171,13355,69506,56051
2021,CalFresh,U.S. Congress,District 36,69960.45,144992,8879,3959,741,1404,13212,33512,80226,2469,547,15026,78226,66766
2021,CalFresh,U.S. Congress,District 37,81834.9,147743,13741,5172,745,2763,59382,14627,56243,5098,248,12145,78662,69081
2021,CalFresh,U.S. Congress,District 38,88520.25,98811,8251,2771,534,2417,5613,10018,66096,10233,150,6701,55206,43605
2021,CalFresh,U.S. Congress,District 39,111564.6,64440,4572,1176,290,990,2587,10077,28480,12246,119,10931,35630,28810
2021,CalFresh,U.S. Congress,District 40,56886.9,166947,9964,6097,899,3495,18679,5676,133333,2471,172,6616,90925,76022
2021,CalFresh,U.S. Congress,District 41,78902.25,120697,6940,2868,621,1448,17790,16535,65764,3702,267,16639,66522,54175
2021,CalFresh,U.S. Congress,District 42,104092.8,87479,4955,1563,357,1082,6893,22879,36337,4687,244,16439,48852,38627
2021,CalFresh,U.S. Congress,District 43,76810.65,150255,11517,4668,765,3163,52539,9363,70829,7208,220,10096,82149,68106
2021,CalFresh,U.S. Congress,District 44,64640.1,180298,11561,6260,957,3573,45691,8283,108938,7030,245,10111,97914,82384
2021,CalFresh,U.S. Congress,District 45,138945.45,50302,3855,821,224,656,2337,13092,14738,5660,102,14373,28218,22084
2021,CalFresh,U.S. Congress,District 46,77679,124008,6655,2599,533,1488,3029,12791,69869,17077,234,21008,65935,58073
2021,CalFresh,U.S. Congress,District 47,90008.1,119959,10579,2904,486,2134,17340,16132,43052,28804,228,14403,65096,54863
2021,CalFresh,U.S. Congress,District 48,120603,63949,5018,925,165,783,1205,16639,17763,13768,174,14400,34445,29504
2021,CalFresh,U.S. Congress,District 49,116916.45,59156,1929,848,128,748,2153,15563,18262,2136,227,20815,31868,27288
2021,CalFresh,U.S. Congress,District 50,96178.95,99636,4544,1249,259,1560,3918,25851,27043,3242,878,38704,54185,45451
2021,CalFresh,U.S. Congress,District 51,60808.65,187481,9489,2451,428,3306,10294,12739,110961,8380,969,44138,103321,84160
2021,CalFresh,U.S. Congress,District 52,133204.05,60760,3168,721,100,785,4574,14359,8044,5971,228,27584,30888,29872
2021,CalFresh,U.S. Congress,District 53,100698.15,129406,6565,1883,403,1941,13651,20287,34690,8259,385,52134,70029,59377
2021,CalWorks,State Assembly,District 01,78779.4,9881,36,523,230,162,234,6309,1267,250,265,1556,5470,4411
2021,CalWorks,State Assembly,District 02,86987.25,8728,45,638,179,142,207,4366,1998,236,711,1210,4939,3789
2021,CalWorks,State Assembly,District 03,71725.5,17068,43,676,254,275,846,7890,5136,1143,193,1860,9440,7628
2021,CalWorks,State Assembly,District 04,99744.75,6135,26,256,88,94,449,2363,2448,125,94,656,3459,2676
2021,CalWorks,State Assembly,District 05,81869.55,12792,26,543,191,151,332,4078,6624,96,115,1547,6984,5808
2021,CalWorks,State Assembly,District 06,126485.1,4075,16,187,87,59,351,1765,558,151,24,1226,2279,1796
2021,CalWorks,State Assembly,District 07,80375.4,26727,81,777,189,209,8634,3703,5808,1279,137,7166,14660,12067
2021,CalWorks,State Assembly,District 08,80117.1,24320,79,592,193,182,4594,3819,3090,642,110,12065,12860,11460
2021,CalWorks,State Assembly,District 09,86739.45,16240,50,378,106,162,4321,1560,4081,1137,79,5062,8786,7454
2021,CalWorks,State Assembly,District 10,133427.7,3739,24,228,67,51,375,1000,1796,75,30,463,2161,1578
2021,CalWorks,State Assembly,District 11,104494.95,12086,32,286,100,114,4242,1930,3078,456,53,2327,6856,5230
2021,CalWorks,State Assembly,District 12,83538,13204,23,318,91,150,716,3651,5873,733,20,2211,7445,5759
2021,CalWorks,State Assembly,District 13,77075.25,23901,31,559,248,329,5148,2623,10366,1814,63,3887,13205,10696
2021,CalWorks,State Assembly,District 14,108680.25,8934,30,188,56,85,3145,1143,2287,412,30,1917,5041,3893
2021,CalWorks,State Assembly,District 15,120084.3,6074,22,170,48,58,2785,324,1646,260,19,1040,3425,2649
2021,CalWorks,State Assembly,District 17,139799.1,6562,52,387,88,101,2086,278,1866,585,18,1729,3858,2704
2021,CalWorks,State Assembly,District 18,94571.4,12368,47,392,111,119,6008,374,3197,614,29,2146,6995,5373
2021,CalWorks,State Assembly,District 21,64882.65,27190,41,705,250,255,1822,4236,17488,716,42,2886,14945,12245
2021,CalWorks,State Assembly,District 23,84595.35,21823,83,755,364,203,3645,3570,10818,630,182,2978,12173,9650
2021,CalWorks,State Assembly,District 25,151313.4,3229,16,156,34,22,372,340,1328,343,11,835,1808,1421
2021,CalWorks,State Assembly,District 26,57968.4,34333,63,829,312,314,886,5299,24555,429,151,3013,19013,15320
2021,CalWorks,State Assembly,District 27,111683.25,6486,35,327,69,59,462,458,4305,483,15,763,3585,2901
2021,CalWorks,State Assembly,District 28,179207.7,2495,13,158,29,17,232,300,1334,121,18,490,1400,1095
2021,CalWorks,State Assembly,District 29,129249.75,4464,21,183,65,34,254,1075,2370,93,17,655,2500,1964
2021,CalWorks,State Assembly,District 30,87691.8,12177,52,269,61,97,173,791,10273,61,21,858,6776,5401
2021,CalWorks,State Assembly,District 31,49591.5,35465,107,1004,435,271,3776,2738,24185,708,168,3890,19316,16149
2021,CalWorks,State Assembly,District 32,50552.25,31229,48,883,393,278,2912,2807,22539,180,62,2729,17083,14146
2021,CalWorks,State Assembly,District 33,65211.3,36085,128,1108,440,189,8702,6208,17111,284,95,3685,19865,16220
2021,CalWorks,State Assembly,District 34,79934.4,24798,45,857,427,241,3946,5993,12275,197,43,2344,13855,10943
2021,CalWorks,State Assembly,District 35,90454.35,10428,40,476,151,145,221,5310,3301,73,49,1474,5804,4624
2021,CalWorks,State Assembly,District 36,72199.05,34625,136,2616,607,541,13223,4067,15079,221,54,1981,19498,15127
2021,CalWorks,State Assembly,District 37,103824,5019,11,203,75,92,152,1478,2803,21,13,552,2865,2154
2021,CalWorks,State Assembly,District 40,80894.1,19307,69,652,270,114,3755,1670,11395,251,34,2202,10728,8579
2021,CalWorks,State Assembly,District 42,76504.05,14377,75,762,212,74,2384,3432,6807,150,27,1577,8114,6263
2021,CalWorks,State Assembly,District 43,97678.35,8361,46,281,55,101,370,5023,2380,158,11,419,4531,3830
2021,CalWorks,State Assembly,District 47,73377.15,22717,72,762,280,123,4255,1279,14209,213,29,2732,12646,10071
2021,CalWorks,State Assembly,District 48,86008.65,12545,35,739,235,207,604,936,10123,312,14,556,7165,5380
2021,CalWorks,State Assembly,District 50,145977.3,3133,15,191,39,49,670,789,1241,119,12,302,1823,1310
2021,CalWorks,State Assembly,District 52,74299.05,15729,32,811,242,160,1834,907,10981,237,16,1754,8923,6806
2021,CalWorks,State Assembly,District 53,49287,19403,45,1296,213,326,2207,528,15534,433,19,682,10901,8502
2021,CalWorks,State Assembly,District 54,95733.75,12011,47,764,205,184,5837,608,4687,139,23,717,7032,4979
2021,CalWorks,State Assembly,District 56,60075.75,23299,106,930,254,288,1171,1617,18886,49,246,1330,13090,10209
2021,CalWorks,State Assembly,District 59,50286.6,42010,120,2870,526,627,12991,485,26991,80,39,1424,23450,18560
2021,CalWorks,State Assembly,District 61,78340.5,14607,89,674,246,96,3464,1295,8003,220,14,1611,8298,6309
2021,CalWorks,State Assembly,District 62,83377.35,14804,62,708,172,202,5807,568,7279,228,21,901,8503,6301
2021,CalWorks,State Assembly,District 63,65217.6,17935,44,956,206,262,2566,602,13795,362,13,597,10182,7753
2021,CalWorks,State Assembly,District 64,64589.7,35051,93,2112,471,483,12394,630,20108,423,37,1459,19740,15311
2021,CalWorks,State Assembly,District 65,93112.95,8913,40,368,117,69,552,1170,5714,501,17,959,5040,3873
2021,CalWorks,State Assembly,District 67,94153.5,9836,75,452,127,64,1428,2152,4907,131,14,1204,5590,4246
2021,CalWorks,State Assembly,District 68,130772.25,4911,22,270,91,31,355,759,3062,121,21,593,2807,2104
2021,CalWorks,State Assembly,District 69,74474.4,12254,31,572,198,73,330,725,10070,342,13,774,6686,5568
2021,CalWorks,State Assembly,District 70,86421.3,15050,53,997,253,239,3851,917,8567,775,28,912,8560,6490
2021,CalWorks,State Assembly,District 71,91905.45,14981,40,312,71,150,1453,2969,3156,178,38,7187,8074,6907
2021,CalWorks,State Assembly,District 72,94496.85,6680,40,264,82,33,220,1041,3820,942,21,636,3672,3008
2021,CalWorks,State Assembly,District 75,100404.15,4462,15,135,41,46,314,882,2391,96,52,727,2531,1931
2021,CalWorks,State Assembly,District 79,94372.95,10581,38,304,97,117,2439,945,3804,345,18,3030,5896,4685
2021,CalWorks,State Assembly,District 80,100698.15,13952,33,266,72,147,1509,818,8483,358,15,2769,7839,6113
